State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Haryana,Jind,Narwana,Onion,Other,FAQ,20/09/2025,1500,1500,1500,23
Haryana,Jind,Narwana,Onion,Other,FAQ,27/09/2025,1300,1300,1300,23
Haryana,Jind,Narwana,Onion,Other,FAQ,01/09/2025,1500,1500,1500,23
Haryana,Jind,Narwana,Onion,Other,FAQ,17/09/2025,1500,1500,1500,23
Haryana,Jind,Narwana,Cauliflower,Cauliflower,FAQ,26/09/2025,5000,5000,5000,34
Haryana,Jind,Narwana,Paddy(Dhan)(Basmati),1121,FAQ,26/09/2025,2750,3050,2950,414
Haryana,Jind,Narwana,Bottle gourd,Bottle Gourd,FAQ,06/09/2025,4000,4500,4250,82
Haryana,Jind,Narwana,Bottle gourd,Bottle Gourd,FAQ,13/09/2025,3500,3500,3500,82
Haryana,Jind,Narwana,Bottle gourd,Bottle Gourd,FAQ,14/09/2025,3500,3500,3500,82
Haryana,Jind,Narwana,Bottle gourd,Bottle Gourd,FAQ,16/09/2025,3500,3500,3500,82
Haryana,Jind,Narwana,Bottle gourd,Bottle Gourd,FAQ,18/09/2025,3500,3500,3500,82
Haryana,Jind,Narwana,Tomato,Other,FAQ,20/09/2025,1600,1600,1600,78
Haryana,Jind,Narwana,Tomato,Other,FAQ,28/09/2025,2500,2500,2500,78
Haryana,Jind,Narwana,Tomato,Other,FAQ,29/09/2025,2500,2500,2500,78
Haryana,Jind,Narwana,Tomato,Other,FAQ,05/09/2025,2800,3000,2950,78
Haryana,Jind,Narwana,Tomato,Other,FAQ,16/09/2025,2000,2000,2000,78
Haryana,Jind,Narwana,Tomato,Other,FAQ,18/09/2025,2500,2500,2500,78
Haryana,Jind,Narwana,Banana,Other,Medium,06/09/2025,1600,1600,1600,19
Haryana,Jind,Narwana,Banana,Other,Medium,08/09/2025,1600,1600,1600,19
Haryana,Jind,Narwana,Banana,Other,Medium,13/09/2025,1600,1600,1600,19
Haryana,Jind,Narwana,Banana,Other,Medium,18/09/2025,1600,1600,1600,19
Haryana,Jind,Narwana,Banana,Other,Medium,19/09/2025,1600,1600,1600,19
Haryana,Jind,Narwana,Banana,Other,Medium,23/09/2025,1600,1600,1600,19
Haryana,Jind,Narwana,Banana,Other,Medium,25/09/2025,1600,1600,1600,19
Haryana,Jind,Narwana,Brinjal,Brinjal,FAQ,28/08/2025,3000,3000,3000,35
Haryana,Jind,Narwana,Onion,Other,FAQ,06/08/2025,1600,1600,1600,23
Haryana,Jind,Narwana,Onion,Other,FAQ,25/08/2025,2000,2000,2000,23
Haryana,Jind,Narwana,Cauliflower,Cauliflower,FAQ,06/08/2025,4000,4000,4000,34
Haryana,Jind,Narwana,Cauliflower,Cauliflower,FAQ,24/08/2025,4000,4000,4000,34
Haryana,Jind,Narwana,Cauliflower,Cauliflower,FAQ,09/08/2025,5000,5000,5000,34
Haryana,Jind,Narwana,Cauliflower,Cauliflower,FAQ,18/08/2025,5000,6000,5500,34
Haryana,Jind,Narwana,Potato,Other,FAQ,01/08/2025,1200,1200,1200,24
Haryana,Jind,Narwana,Potato,Other,FAQ,06/08/2025,1200,1200,1200,24
Haryana,Jind,Narwana,Potato,Other,FAQ,11/08/2025,1200,1200,1200,24
Haryana,Jind,Narwana,Potato,Other,FAQ,14/08/2025,1200,1200,1200,24
Haryana,Jind,Narwana,Potato,Other,FAQ,18/08/2025,1200,1200,1200,24
Haryana,Jind,Narwana,Potato,Other,FAQ,23/08/2025,1200,1200,1200,24
Haryana,Jind,Narwana,Pomegranate,Other,Medium,05/08/2025,15000,15000,15000,190
Haryana,Jind,Narwana,Pomegranate,Other,Medium,23/08/2025,15000,15000,15000,190
Haryana,Jind,Narwana,Pomegranate,Other,Medium,26/08/2025,15000,15000,15000,190
Haryana,Jind,Narwana,Guava,Guava,Medium,02/08/2025,4000,4000,4000,185
Haryana,Jind,Narwana,Guava,Guava,Medium,11/08/2025,2000,2000,2000,185
Haryana,Jind,Narwana,Guava,Guava,Medium,16/08/2025,1000,1500,1200,185
Haryana,Jind,Narwana,Guava,Guava,Medium,18/08/2025,1500,1500,1500,185
Haryana,Jind,Narwana,Guava,Guava,Medium,27/08/2025,1000,1500,1250,185
Haryana,Jind,Narwana,Guava,Guava,Medium,28/08/2025,1500,1500,1500,185
Haryana,Jind,Narwana,Sponge gourd,Other,FAQ,01/08/2025,1500,2000,1850,311
Haryana,Jind,Narwana,Sponge gourd,Other,FAQ,04/08/2025,2500,2500,2500,311
Haryana,Jind,Narwana,Sponge gourd,Other,FAQ,05/08/2025,2000,2000,2000,311
Haryana,Jind,Narwana,Sponge gourd,Other,FAQ,08/08/2025,3500,3500,3500,311
Haryana,Jind,Narwana,Sponge gourd,Other,FAQ,10/08/2025,2000,2000,2000,311
Haryana,Jind,Narwana,Sponge gourd,Other,FAQ,14/08/2025,2500,2500,2500,311
Haryana,Jind,Narwana,Sponge gourd,Other,FAQ,15/08/2025,2500,2500,2500,311
Haryana,Jind,Narwana,Sponge gourd,Other,FAQ,19/08/2025,2500,2500,2500,311
Haryana,Jind,Narwana,Sponge gourd,Other,FAQ,28/08/2025,2500,2500,2500,311
Haryana,Jind,Narwana,Cucumbar(Kheera),Cucumbar,FAQ,13/08/2025,2000,2000,2000,159
Haryana,Jind,Narwana,Cucumbar(Kheera),Cucumbar,FAQ,28/08/2025,2500,2500,2500,159
Haryana,Jind,Narwana,Carrot,Carrot,FAQ,28/08/2025,3000,3000,3000,153
Haryana,Jind,Narwana,Apple,Other,Medium,03/08/2025,10000,12000,11000,17
Haryana,Jind,Narwana,Apple,Other,Medium,07/08/2025,6000,15000,10000,17
Haryana,Jind,Narwana,Apple,Other,Medium,08/08/2025,5000,15000,10000,17
Haryana,Jind,Narwana,Apple,Other,Medium,10/08/2025,1500,2000,1850,17
Haryana,Jind,Narwana,Apple,Other,Medium,16/08/2025,5000,10000,8000,17
Haryana,Jind,Narwana,Apple,Other,Medium,20/08/2025,6000,12000,8500,17
Haryana,Jind,Narwana,Bitter gourd,Bitter Gourd,FAQ,26/08/2025,3000,3000,3000,81
Haryana,Jind,Narwana,Mousambi(Sweet Lime),Other,Medium,10/08/2025,2500,2500,2500,77
Haryana,Jind,Narwana,Mousambi(Sweet Lime),Other,Medium,16/08/2025,2500,2500,2500,77
Haryana,Jind,Narwana,Mousambi(Sweet Lime),Other,Medium,19/08/2025,2500,3000,2750,77
Haryana,Jind,Narwana,Mousambi(Sweet Lime),Other,Medium,24/08/2025,2500,3000,2750,77
Haryana,Jind,Narwana,Tomato,Other,FAQ,21/08/2025,5000,6000,5500,78
Haryana,Jind,Narwana,Bhindi(Ladies Finger),Bhindi,FAQ,25/08/2025,3000,3000,3000,85
Haryana,Jind,Narwana,Bottle gourd,Bottle Gourd,FAQ,10/08/2025,1500,1500,1500,82
Haryana,Jind,Narwana,Bottle gourd,Bottle Gourd,FAQ,11/08/2025,1500,2000,1750,82
Haryana,Jind,Narwana,Bottle gourd,Bottle Gourd,FAQ,15/08/2025,2000,2000,2000,82
Haryana,Jind,Narwana,Bottle gourd,Bottle Gourd,FAQ,18/08/2025,2000,2000,2000,82
Haryana,Jind,Narwana,Bottle gourd,Bottle Gourd,FAQ,25/08/2025,2000,2000,2000,82
Haryana,Jind,Narwana,Bhindi(Ladies Finger),Bhindi,FAQ,21/08/2025,3000,3000,3000,85
Haryana,Jind,Narwana,Tomato,Other,FAQ,15/08/2025,5000,6000,5500,78
Haryana,Jind,Narwana,Tomato,Other,FAQ,27/08/2025,3000,3500,3250,78
Haryana,Jind,Narwana,Guava,Guava,Medium,01/09/2025,1500,1500,1500,185
Haryana,Jind,Narwana,Guava,Guava,Medium,02/09/2025,2000,2000,2000,185
Haryana,Jind,Narwana,Guava,Guava,Medium,09/09/2025,1500,1500,1500,185
Haryana,Jind,Narwana,Cucumbar(Kheera),Cucumbar,FAQ,19/09/2025,3000,3000,3000,159
Haryana,Jind,Narwana,Pomegranate,Other,Medium,07/09/2025,15000,15000,15000,190
Haryana,Jind,Narwana,Pomegranate,Other,Medium,09/09/2025,15000,15000,15000,190
